a,b,c,d
tag,NA,NA,NA
Aspect,NA,NA,NA
Mood,NA,NA,NA
Number,NA,NA,NA
Person,NA,NA,NA
Tense,NA,NA,NA
VerbForm,NA,NA,NA
Case,NA,NA,NA
PronType,NA,NA,NA
Gender,NA,NA,NA
tag,Aspect,NA,NA
tag,VerbForm,NA,NA
Aspect,VerbForm,NA,NA
Aspect,Deprel,NA,NA
VerbForm,Deprel,NA,NA
Case,Gender,NA,NA
tag,Gender,NA,NA
Number,Gender,NA,NA
Gender,Deprel,NA,NA
Number,Case,NA,NA
tag,Case,NA,NA
Case,Deprel,NA,NA
tag,Number,NA,NA
Number,Deprel,NA,NA
tag,Deprel,NA,NA
tag,Aspect,VerbForm,NA
tag,Aspect,Deprel,NA
tag,VerbForm,Deprel,NA
Aspect,VerbForm,Deprel,NA
tag,Case,Gender,NA
Number,Case,Gender,NA
Case,Gender,Deprel,NA
tag,Number,Gender,NA
tag,Gender,Deprel,NA
Number,Gender,Deprel,NA
tag,Number,Case,NA
Number,Case,Deprel,NA
tag,Case,Deprel,NA
tag,Number,Deprel,NA
tag,Aspect,VerbForm,Deprel
tag,Number,Case,Gender
tag,Case,Gender,Deprel
Number,Case,Gender,Deprel
tag,Number,Gender,Deprel
tag,Number,Case,Deprel
