title,NOUN,ADJ,VERB,DET,ADP,PUNCT,NUM,ADV,CCONJ,PRON,SCONJ,AUX,qui|PRON,in|ADP,que|CCONJ,sum|AUX,et|CCONJ,is|PRON,ad|ADP,sui|PRON,atque|CCONJ,ab|ADP,hic|DET,ex|ADP,omnis|DET,ut|SCONJ,res|NOUN,suus|DET,non|ADV,locus|NOUN,cum|SCONJ,facio|VERB,cum|ADP,possum|VERB,neque|CCONJ,quod|SCONJ,pars|NOUN,oppidum|NOUN,ipse|DET,habeo|VERB,de|ADP,copia|NOUN,eo|PRON,eques|NOUN,navis|NOUN,exercitus|NOUN,mitto|VERB,ne|SCONJ,tempus|NOUN,aut|CCONJ,ille|DET,idem|DET,si|SCONJ,Pompeius|NOUN,sed|CCONJ,causa|NOUN,proelium|NOUN,iter|NOUN,reliquus|ADJ,civitas|NOUN,per|ADP,equitatus|NOUN,praesidium|NOUN,recipio|VERB,consilium|NOUN,unus|DET,venio|VERB,cognosco|VERB,duo|NUM,iubeo|VERB,qui|SCONJ,do|VERB,video|VERB,multus|DET,quam|SCONJ,flumen|NOUN,interficio|VERB,superus|ADJ,relinquo|VERB,ita|ADV,tamen|ADV,munitio|NOUN,nullus|DET,animus|NOUN,cohors|NOUN,acies|NOUN,multitudo|NOUN,capio|VERB,Gallia|NOUN,opus|NOUN,proficiscor|VERB,etiam|ADV,homo|NOUN,gero|VERB,primus|ADJ,constituo|VERB,auxilium|NOUN,dico|VERB,coepi|VERB,inter|ADP,celeriter|ADV,provincia|NOUN,numerus|NOUN,romanus|NOUN,alius|DET,finis|NOUN,longe|ADV,arma|NOUN,quis|PRON,ante|ADP,virtus|NOUN,ibi|ADV,NOUN|NOUN|VERB,NOUN|VERB|NOUN,NOUN|VERB|VERB,ADP|NOUN|VERB,NOUN|ADP|NOUN,NOUN|NOUN|NOUN,ADP|NOUN|NOUN,NOUN|VERB|CCONJ,VERB|NOUN|VERB,VERB|NOUN|NOUN,NOUN|CCONJ|NOUN,ADJ|NOUN|VERB,DET|NOUN|VERB,VERB|ADP|NOUN,NOUN|NOUN|CCONJ,ADJ|NOUN|NOUN,NOUN|VERB|DET,NOUN|ADJ|NOUN,VERB|VERB|NOUN,NOUN|VERB|PRON,NOUN|VERB|ADV,NOUN|VERB|ADP,PRON|NOUN|VERB,CCONJ|NOUN|VERB,DET|NOUN|NOUN,NOUN|VERB|SCONJ,VERB|NOUN|CCONJ,VERB|DET|NOUN,NOUN|VERB|ADJ,ADP|DET|NOUN,CCONJ|NOUN|NOUN,NOUN|NOUN|ADP,NOUN|ADJ|VERB,ADP|ADJ|NOUN,NOUN|NOUN|ADJ,VERB|CCONJ|NOUN,VERB|VERB|VERB,VERB|ADJ|NOUN,PRON|ADP|NOUN,NOUN|DET|NOUN,VERB|PRON|NOUN,VERB|VERB|CCONJ,ADP|NOUN|ADJ,NOUN|CCONJ|VERB,CCONJ|ADP|NOUN,PRON|NOUN|NOUN,ADP|PRON|NOUN,VERB|NOUN|ADP,VERB|VERB|DET,DET|ADP|NOUN,VERB|CCONJ|VERB,VERB|VERB|PRON,VERB|VERB|ADV,VERB|NOUN|ADJ,ADV|NOUN|VERB,DET|VERB|NOUN,NOUN|PRON|VERB,VERB|VERB|SCONJ,NOUN|ADV|VERB,NOUN|PRON|NOUN,ADV|ADP|NOUN,VERB|ADV|VERB,VERB|NOUN|ADV,VERB|SCONJ|NOUN,ADJ|VERB|NOUN,PRON|VERB|VERB,VERB|CCONJ|ADP,PRON|VERB|NOUN,ADV|NOUN|NOUN,ADJ|ADP|NOUN,NOUN|DET|VERB,ADV|VERB|NOUN,ADP|NOUN|ADP,NOUN|NOUN|PRON,ADP|PRON|VERB,CCONJ|VERB|NOUN,VERB|VERB|ADP,VERB|ADV|NOUN,ADJ|NOUN|ADP,VERB|NOUN|PRON,CCONJ|ADJ|NOUN,NOUN|ADP|PRON,NOUN|NOUN|DET,VERB|NOUN|DET,SCONJ|ADP|NOUN,NOUN|ADP|ADJ,VERB|ADP|PRON,NOUN|ADJ|CCONJ,VERB|CCONJ|DET,NOUN|AUX|VERB,NOUN|NOUN|ADV,CCONJ|DET|NOUN,VERB|CCONJ|ADV,NOUN|CCONJ|ADP,VERB|PRON|VERB,ADJ|CCONJ|NOUN,ADJ|VERB|VERB,VERB|NOUN|SCONJ,NOUN|VERB|AUX,DET|NOUN|ADP
african_1_0,298.7012987012987,90.9090909090909,155.84415584415584,51.948051948051955,64.93506493506493,64.93506493506493,32.467532467532465,71.42857142857143,71.42857142857143,45.45454545454545,38.96103896103896,12.987012987012989,0,19.48051948051948,32.467532467532465,12.987012987012989,38.96103896103896,12.987012987012989,12.987012987012989,12.987012987012989,0,12.987012987012989,6.493506493506494,0,6.493506493506494,19.48051948051948,0,0,19.48051948051948,0,12.987012987012989,6.493506493506494,0,0,0,0,0,0,6.493506493506494,12.987012987012989,0,6.493506493506494,6.493506493506494,12.987012987012989,19.48051948051948,0,0,6.493506493506494,6.493506493506494,0,0,0,0,0,0,0,0,6.493506493506494,0,0,6.493506493506494,6.493506493506494,0,0,6.493506493506494,6.493506493506494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.987012987012989,0,12.987012987012989,6.493506493506494,0,0,0,0,0,0,0,0,0,0,0,6.493506493506494,0,0,0,0,0,6.493506493506494,0,0,0,0,0,0,6.493506493506494,0,0,0,0,0,6.493506493506494,6.493506493506494,6.493506493506494,51.948051948051955,12.987012987012989,0,0,12.987012987012989,12.987012987012989,6.493506493506494,6.493506493506494,0,19.48051948051948,12.987012987012989,6.493506493506494,19.48051948051948,0,0,12.987012987012989,6.493506493506494,19.48051948051948,6.493506493506494,0,6.493506493506494,6.493506493506494,12.987012987012989,6.493506493506494,0,0,0,25.974025974025977,0,12.987012987012989,6.493506493506494,0,6.493506493506494,0,0,6.493506493506494,0,0,12.987012987012989,0,0,6.493506493506494,0,0,6.493506493506494,0,0,0,0,0,6.493506493506494,0,6.493506493506494,0,6.493506493506494,19.48051948051948,0,0,0,0,0,0,0,0,0,6.493506493506494,6.493506493506494,0,0,0,0,0,0,6.493506493506494,0,0,0,0,0,6.493506493506494,0,6.493506493506494,0,6.493506493506494,0,0,0,0,0,0,0,0,0,0,0
african_1_1,282.4427480916031,137.40458015267177,160.30534351145036,68.70229007633588,76.33587786259542,61.06870229007633,30.534351145038165,91.6030534351145,61.06870229007633,15.267175572519083,7.633587786259541,7.633587786259541,15.267175572519083,22.900763358778626,7.633587786259541,7.633587786259541,38.16793893129771,0,0,0,7.633587786259541,15.267175572519083,0,0,7.633587786259541,7.633587786259541,7.633587786259541,0,7.633587786259541,7.633587786259541,0,0,7.633587786259541,0,0,0,7.633587786259541,7.633587786259541,15.267175572519083,0,15.267175572519083,0,0,15.267175572519083,30.534351145038165,7.633587786259541,0,0,0,0,0,0,0,0,0,0,0,0,22.900763358778626,0,0,0,0,0,0,0,7.633587786259541,0,0,7.633587786259541,0,0,0,0,0,0,0,0,7.633587786259541,15.267175572519083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.633587786259541,0,0,0,0,0,7.633587786259541,0,0,0,0,0,7.633587786259541,0,0,0,0,7.633587786259541,15.267175572519083,7.633587786259541,7.633587786259541,0,7.633587786259541,7.633587786259541,15.267175572519083,22.900763358778626,0,0,15.267175572519083,22.900763358778626,22.900763358778626,22.900763358778626,0,7.633587786259541,0,0,0,0,7.633587786259541,22.900763358778626,7.633587786259541,15.267175572519083,0,0,7.633587786259541,0,15.267175572519083,15.267175572519083,0,0,7.633587786259541,7.633587786259541,0,15.267175572519083,0,22.900763358778626,0,15.267175572519083,0,7.633587786259541,15.267175572519083,0,0,0,0,0,0,0,7.633587786259541,0,0,0,0,0,0,0,15.267175572519083,7.633587786259541,7.633587786259541,0,7.633587786259541,0,7.633587786259541,0,7.633587786259541,0,0,7.633587786259541,7.633587786259541,7.633587786259541,0,0,0,0,0,7.633587786259541,0,0,7.633587786259541,0,0,7.633587786259541,0,0,0,7.633587786259541,0,0,0,0,0,0,0,7.633587786259541,0,0,0,7.633587786259541
african_1_10,312,24,232,80,104,32,8,48,48,64,24,24,24,40,8,24,16,32,8,0,16,0,16,16,8,0,16,16,0,0,8,0,8,0,8,0,8,8,8,0,16,8,8,8,48,0,0,16,0,0,8,0,0,0,0,0,0,0,8,0,0,0,8,8,8,8,0,16,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,8,0,0,0,16,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,16,16,0,40,16,8,24,16,16,24,16,0,8,8,8,0,32,0,0,0,16,0,8,0,0,16,0,24,8,8,8,8,8,0,8,0,0,0,16,8,0,0,8,0,8,0,0,0,0,8,8,8,8,0,16,0,8,0,0,0,24,0,8,8,8,8,8,8,8,0,8,0,0,8,8,8,0,16,0,0,0,8,8,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,16
african_1_11,300,60,170,30,100,40,20,90,70,80,10,30,30,20,10,30,40,20,10,20,10,20,10,10,0,0,10,0,10,0,10,0,30,10,0,0,0,0,10,10,0,20,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,20,0,0,0,10,0,0,0,0,0,20,10,20,30,30,0,0,10,0,0,10,0,10,10,10,0,0,0,10,20,0,10,10,0,0,0,0,0,0,0,10,10,10,0,10,0,0,0,0,0,10,10,10,0,10,40,10,10,0,0,10,0,0,10,10,0,0,0,10,10,0,0,10,0,0,0,10,0,10,0,0,10,0,0,0,10,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,10,0
african_1_12,333.3333333333333,126.43678160919542,195.40229885057474,0,45.97701149425287,45.97701149425287,11.494252873563218,68.9655172413793,80.45977011494253,34.48275862068965,45.97701149425287,11.494252873563218,11.494252873563218,0,11.494252873563218,11.494252873563218,57.47126436781609,11.494252873563218,0,11.494252873563218,0,0,0,0,0,34.48275862068965,0,0,11.494252873563218,0,0,0,11.494252873563218,11.494252873563218,0,0,0,0,0,0,0,34.48275862068965,0,34.48275862068965,0,0,0,11.494252873563218,0,0,0,0,0,0,11.494252873563218,0,0,0,0,0,0,11.494252873563218,0,0,0,0,0,0,11.494252873563218,0,0,0,0,0,0,0,0,0,0,22.988505747126435,0,0,0,0,0,45.97701149425287,11.494252873563218,0,0,0,0,0,0,0,0,11.494252873563218,0,0,0,11.494252873563218,0,0,0,0,0,0,0,0,0,11.494252873563218,0,0,34.48275862068965,22.988505747126435,0,11.494252873563218,11.494252873563218,0,11.494252873563218,34.48275862068965,0,11.494252873563218,11.494252873563218,22.988505747126435,0,11.494252873563218,0,11.494252873563218,0,34.48275862068965,0,0,11.494252873563218,11.494252873563218,11.494252873563218,22.988505747126435,0,0,0,0,22.988505747126435,0,0,11.494252873563218,11.494252873563218,11.494252873563218,34.48275862068965,11.494252873563218,0,11.494252873563218,0,0,0,0,0,0,0,11.494252873563218,11.494252873563218,0,0,0,0,0,11.494252873563218,11.494252873563218,0,0,0,0,11.494252873563218,0,0,0,0,22.988505747126435,0,0,11.494252873563218,0,11.494252873563218,0,0,0,0,0,0,0,0,11.494252873563218,0,0,11.494252873563218,0,0,0,0,0,0,11.494252873563218,0,0,0,0,22.988505747126435,0,0,0,11.494252873563218,0,0,0
african_1_13,280,80,220,40,60,50,0,80,70,80,40,0,0,20,20,0,40,50,10,30,0,0,10,10,0,0,0,10,0,0,20,10,0,0,10,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,30,20,20,0,10,0,20,0,10,0,10,10,0,0,30,20,10,10,10,10,0,30,0,0,0,10,10,0,0,0,0,0,20,10,10,0,10,0,0,0,0,0,10,20,0,10,0,0,0,0,0,20,0,20,0,20,0,10,20,0,0,20,10,0,10,20,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,10,0,0,0,10,0,0,0,0,10
african_1_14,397.9591836734694,51.02040816326531,214.28571428571428,51.02040816326531,81.63265306122449,40.816326530612244,10.204081632653061,91.83673469387756,20.408163265306122,20.408163265306122,20.408163265306122,0,0,20.408163265306122,20.408163265306122,0,0,10.204081632653061,0,0,0,40.816326530612244,0,0,20.408163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.204081632653061,0,30.612244897959183,0,0,0,10.204081632653061,10.204081632653061,0,0,0,0,0,0,0,0,0,0,0,10.204081632653061,10.204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.204081632653061,0,0,0,10.204081632653061,0,0,20.408163265306122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.408163265306122,0,10.204081632653061,0,0,0,51.02040816326531,40.816326530612244,20.408163265306122,20.408163265306122,20.408163265306122,20.408163265306122,10.204081632653061,0,0,20.408163265306122,10.204081632653061,0,0,20.408163265306122,0,30.612244897959183,0,20.408163265306122,20.408163265306122,10.204081632653061,0,10.204081632653061,10.204081632653061,0,10.204081632653061,0,10.204081632653061,0,0,0,0,0,10.204081632653061,10.204081632653061,10.204081632653061,0,10.204081632653061,0,0,20.408163265306122,10.204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.408163265306122,0,10.204081632653061,0,40.816326530612244,0,0,0,0,0,20.408163265306122,10.204081632653061,10.204081632653061,20.408163265306122,0,0,0,0,20.408163265306122,10.204081632653061,0,0,0,0,20.408163265306122,10.204081632653061,0,0,0,0,0,0,10.204081632653061,0,0,0,0,0,10.204081632653061,0,0,0
african_1_15,253.84615384615384,46.15384615384615,215.3846153846154,46.15384615384615,61.53846153846154,76.92307692307693,7.6923076923076925,123.07692307692308,61.53846153846154,53.84615384615385,23.076923076923077,30.76923076923077,15.384615384615385,38.46153846153847,0,30.76923076923077,15.384615384615385,0,0,0,7.6923076923076925,7.6923076923076925,0,0,7.6923076923076925,7.6923076923076925,0,0,23.076923076923077,0,0,7.6923076923076925,0,7.6923076923076925,7.6923076923076925,0,0,0,0,0,15.384615384615385,0,7.6923076923076925,0,0,0,7.6923076923076925,0,0,0,0,0,0,0,7.6923076923076925,0,0,0,0,0,0,0,0,0,0,0,0,7.6923076923076925,0,0,0,0,0,0,0,0,0,0,0,15.384615384615385,7.6923076923076925,0,0,7.6923076923076925,0,7.6923076923076925,0,0,0,0,0,0,0,0,7.6923076923076925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6923076923076925,0,15.384615384615385,23.076923076923077,23.076923076923077,7.6923076923076925,7.6923076923076925,23.076923076923077,15.384615384615385,23.076923076923077,0,0,15.384615384615385,0,7.6923076923076925,0,0,0,23.076923076923077,0,0,15.384615384615385,0,0,0,7.6923076923076925,0,0,0,0,0,0,0,15.384615384615385,7.6923076923076925,0,0,0,0,7.6923076923076925,0,0,0,7.6923076923076925,7.6923076923076925,0,0,0,7.6923076923076925,0,7.6923076923076925,0,0,0,0,0,0,0,23.076923076923077,0,0,0,15.384615384615385,7.6923076923076925,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,15.384615384615385,0,0,7.6923076923076925,0,7.6923076923076925,7.6923076923076925,7.6923076923076925,0,15.384615384615385,0,0,0,0,0,0,7.6923076923076925,0,7.6923076923076925,0,0,0,15.384615384615385,0,15.384615384615385,0,0,7.6923076923076925,0,0,0,0
african_1_16,290.69767441860466,58.13953488372093,220.93023255813955,116.27906976744185,93.02325581395348,34.883720930232556,0,34.883720930232556,81.39534883720931,23.25581395348837,34.883720930232556,11.627906976744185,0,23.25581395348837,34.883720930232556,11.627906976744185,23.25581395348837,0,23.25581395348837,23.25581395348837,11.627906976744185,11.627906976744185,11.627906976744185,0,0,11.627906976744185,11.627906976744185,11.627906976744185,0,0,0,11.627906976744185,11.627906976744185,0,11.627906976744185,0,23.25581395348837,0,0,0,0,0,0,23.25581395348837,0,0,0,0,0,0,0,11.627906976744185,0,0,0,0,0,0,0,0,0,0,11.627906976744185,23.25581395348837,11.627906976744185,23.25581395348837,0,11.627906976744185,0,11.627906976744185,0,0,0,0,11.627906976744185,0,0,0,0,11.627906976744185,0,0,0,0,11.627906976744185,11.627906976744185,0,0,0,0,0,0,0,11.627906976744185,0,0,0,0,11.627906976744185,0,0,0,0,0,0,0,11.627906976744185,0,0,11.627906976744185,0,0,34.883720930232556,11.627906976744185,11.627906976744185,23.25581395348837,23.25581395348837,0,11.627906976744185,34.883720930232556,11.627906976744185,0,11.627906976744185,0,11.627906976744185,11.627906976744185,0,0,11.627906976744185,23.25581395348837,11.627906976744185,0,11.627906976744185,11.627906976744185,0,11.627906976744185,11.627906976744185,0,0,11.627906976744185,11.627906976744185,11.627906976744185,0,0,11.627906976744185,0,11.627906976744185,11.627906976744185,0,0,0,0,0,0,0,0,0,0,0,11.627906976744185,0,11.627906976744185,11.627906976744185,0,0,11.627906976744185,11.627906976744185,23.25581395348837,0,0,0,0,0,0,0,0,0,0,0,0,23.25581395348837,0,0,0,0,0,0,11.627906976744185,0,11.627906976744185,11.627906976744185,11.627906976744185,0,0,0,0,0,0,0,0,23.25581395348837,0,0,11.627906976744185,11.627906976744185,0,0,0,0,11.627906976744185,0,11.627906976744185
african_1_17,295.08196721311475,76.50273224043715,207.65027322404373,60.10928961748633,60.10928961748633,38.25136612021858,0,81.96721311475409,109.2896174863388,38.25136612021858,16.393442622950822,16.393442622950822,0,5.46448087431694,54.6448087431694,16.393442622950822,16.393442622950822,16.393442622950822,21.85792349726776,16.393442622950822,21.85792349726776,5.46448087431694,5.46448087431694,16.393442622950822,0,5.46448087431694,5.46448087431694,10.92896174863388,0,5.46448087431694,5.46448087431694,0,0,0,10.92896174863388,0,5.46448087431694,0,0,5.46448087431694,0,0,0,21.85792349726776,0,0,5.46448087431694,0,5.46448087431694,0,0,10.92896174863388,0,0,0,0,5.46448087431694,5.46448087431694,5.46448087431694,0,0,0,5.46448087431694,16.393442622950822,0,5.46448087431694,0,0,0,5.46448087431694,0,5.46448087431694,0,0,0,0,0,0,0,5.46448087431694,0,5.46448087431694,5.46448087431694,5.46448087431694,10.92896174863388,0,0,0,0,0,0,0,0,0,0,0,0,5.46448087431694,5.46448087431694,0,0,0,0,0,0,0,0,0,0,0,0,5.46448087431694,16.393442622950822,21.85792349726776,0,16.393442622950822,10.92896174863388,16.393442622950822,0,27.3224043715847,16.393442622950822,5.46448087431694,10.92896174863388,16.393442622950822,10.92896174863388,5.46448087431694,16.393442622950822,10.92896174863388,5.46448087431694,27.3224043715847,5.46448087431694,5.46448087431694,5.46448087431694,10.92896174863388,0,0,5.46448087431694,0,16.393442622950822,5.46448087431694,5.46448087431694,5.46448087431694,16.393442622950822,5.46448087431694,10.92896174863388,5.46448087431694,0,21.85792349726776,0,0,5.46448087431694,10.92896174863388,0,5.46448087431694,10.92896174863388,10.92896174863388,0,0,0,0,0,5.46448087431694,10.92896174863388,5.46448087431694,0,5.46448087431694,5.46448087431694,5.46448087431694,0,5.46448087431694,0,5.46448087431694,0,10.92896174863388,5.46448087431694,0,5.46448087431694,0,0,0,5.46448087431694,5.46448087431694,5.46448087431694,5.46448087431694,0,5.46448087431694,0,5.46448087431694,0,5.46448087431694,0,0,5.46448087431694,0,5.46448087431694,0,5.46448087431694,0,0,0,0,0,0,5.46448087431694,5.46448087431694,0,0,0,5.46448087431694,5.46448087431694,0,0
