title,parent_Indicative,parent_Past,parent_3,Masc,parent_Act,parent_Imp,parent_Perf,parent_Fin,Plur,Sing,parent_Plur,parent_Sing,parent_NOUN,parent_VERB,parent_root,NOUN,VERB,parent_3_parent_Act,parent_Indicative_parent_Act,parent_Past_parent_Act,parent_Imp_parent_3,parent_Indicative_parent_3,parent_3_parent_Past,parent_3_parent_Fin,parent_VERB_parent_Indicative,parent_VERB_parent_Past,parent_Indicative_parent_Fin,parent_Past_parent_Fin,parent_Sing_parent_3,parent_VERB_parent_3,parent_Sing_parent_Act,parent_Sing_parent_Fin,Sing_parent_Sing,parent_VERB_parent_Act,parent_Imp_parent_Act,parent_Fin_parent_Act,parent_VERB_parent_Imp,parent_VERB_parent_Perf,parent_VERB_parent_Fin,parent_Imp_parent_Fin,Sing_parent_VERB,parent_VERB_parent_Plur,parent_VERB_parent_Sing,NOUN_parent_VERB,parent_VERB_parent_3_parent_Act,parent_Indicative_parent_3_parent_Act,parent_3_parent_Past_parent_Act,parent_3_parent_Fin_parent_Act,parent_VERB_parent_Indicative_parent_Act,parent_VERB_parent_Past_parent_Act,parent_Indicative_parent_Fin_parent_Act,parent_Past_parent_Fin_parent_Act,parent_VERB_parent_Imp_parent_3,parent_VERB_parent_Indicative_parent_3,parent_VERB_parent_3_parent_Past,parent_VERB_parent_3_parent_Fin,parent_Imp_parent_3_parent_Fin,parent_Indicative_parent_3_parent_Fin,parent_Sing_parent_3_parent_Fin,parent_3_parent_Past_parent_Fin,parent_VERB_parent_Indicative_parent_Fin,parent_VERB_parent_Past_parent_Fin,parent_VERB_parent_Sing_parent_3,parent_VERB_parent_Sing_parent_Act,parent_VERB_parent_Sing_parent_Fin,parent_VERB_parent_Imp_parent_Act,parent_VERB_parent_Fin_parent_Act,parent_Imp_parent_Fin_parent_Act,parent_VERB_parent_Imp_parent_Fin,parent_VERB_parent_Indicative_parent_3_parent_Act,parent_VERB_parent_3_parent_Past_parent_Act,parent_VERB_parent_3_parent_Fin_parent_Act,parent_Indicative_parent_3_parent_Fin_parent_Act,parent_3_parent_Past_parent_Fin_parent_Act,parent_VERB_parent_Indicative_parent_Fin_parent_Act,parent_VERB_parent_Past_parent_Fin_parent_Act,parent_VERB_parent_Imp_parent_3_parent_Fin,parent_VERB_parent_Indicative_parent_3_parent_Fin,parent_VERB_parent_Sing_parent_3_parent_Fin,parent_VERB_parent_3_parent_Past_parent_Fin,parent_VERB_parent_Imp_parent_Fin_parent_Act,parent_VERB_parent_Indicative_parent_3_parent_Fin_parent_Act,parent_VERB_parent_3_parent_Past_parent_Fin_parent_Act
african _ 1 ,267,225,359,290,398,310,263,368,250,415,298,561,298,581,178,289,206,313,246,200,216,254,217,352,265,224,267,225,241,350,236,246,282,398,254,329,309,262,366,226,245,181,326,222,313,233,192,313,246,200,246,200,215,252,216,350,216,254,238,217,265,224,236,236,244,254,329,188,225,233,192,313,233,192,246,200,215,252,236,216,188,233,192
alexandrine _ 1 ,298,277,420,235,394,331,250,420,240,451,272,603,271,599,224,286,219,328,246,228,272,291,277,411,298,277,298,277,289,411,251,291,311,394,236,337,331,250,420,281,276,169,380,225,328,239,228,328,246,228,246,228,272,291,277,411,272,291,287,277,298,277,287,251,291,236,337,198,281,239,228,328,239,228,246,228,272,291,287,277,198,239,228
civil _ 1 ,301,200,417,234,382,407,166,407,296,396,317,513,285,582,233,281,245,306,234,162,327,298,199,404,300,200,301,200,248,403,190,247,251,382,291,309,406,166,406,329,237,196,305,214,306,231,161,306,234,162,234,162,326,297,199,403,327,298,245,199,300,200,244,190,246,291,309,231,328,231,161,306,231,161,234,162,326,297,244,199,231,231,161
civil _ 2 ,336,239,418,229,405,364,212,433,283,401,358,506,280,581,251,289,232,321,279,190,281,315,235,404,336,238,336,239,216,403,202,222,253,405,267,350,363,212,432,306,251,251,273,223,321,258,186,321,279,190,279,190,280,315,234,403,281,315,210,235,336,238,209,202,221,267,350,223,305,258,186,321,258,186,279,190,280,315,209,234,223,258,186
civil _ 3 ,292,304,394,264,390,263,283,389,247,429,305,577,297,556,215,276,224,324,258,262,194,283,301,379,291,303,292,304,271,377,251,268,301,390,196,334,262,282,387,201,237,169,338,185,324,249,259,324,258,262,258,262,193,282,300,377,194,283,262,301,291,303,262,251,268,196,334,147,200,249,259,324,249,259,258,262,193,282,262,300,147,249,259
gallic _ 1 ,201,232,358,277,386,322,229,347,269,408,306,534,293,554,218,276,208,296,180,201,227,201,229,344,197,227,201,232,222,339,204,214,259,386,249,299,317,229,342,230,220,175,291,195,296,180,198,296,180,201,180,201,222,197,224,339,227,201,214,229,197,227,211,204,211,249,299,182,225,180,198,296,180,198,180,201,222,197,211,224,182,180,198
gallic _ 2 ,248,309,371,243,388,291,263,364,326,327,435,426,306,570,195,280,196,316,229,272,206,241,304,357,247,308,248,309,149,356,138,147,190,388,225,323,289,263,363,208,195,279,213,210,316,222,267,316,229,272,229,272,205,240,303,356,206,241,145,304,247,308,145,138,147,225,323,167,207,222,267,316,222,267,229,272,205,240,145,303,167,222,267
gallic _ 3 ,228,252,372,245,372,335,230,357,340,343,410,432,292,584,165,303,214,305,205,215,236,226,252,355,228,252,228,252,168,355,137,162,198,372,249,307,335,230,357,238,199,250,241,223,305,203,215,305,205,215,205,215,236,226,252,355,236,226,160,252,228,252,160,137,162,249,307,188,238,203,215,305,203,215,205,215,236,226,160,252,188,203,215
gallic _ 4 ,308,309,435,260,424,311,275,421,326,348,427,451,278,603,200,278,213,366,270,278,241,303,309,416,308,308,308,309,192,415,176,195,212,424,245,371,310,275,420,246,209,279,261,204,366,265,278,366,270,278,270,278,240,303,308,415,241,303,191,309,308,308,190,176,194,245,371,196,245,265,278,366,265,278,270,278,240,303,190,308,196,265,278
gallic _ 5 ,303,210,406,253,401,341,209,397,267,438,298,555,287,556,205,272,248,328,270,189,260,292,207,384,303,209,303,210,244,382,216,244,278,401,264,341,338,209,395,270,238,188,295,194,328,259,186,328,270,189,270,189,258,292,206,382,260,292,236,207,303,209,234,216,242,264,341,214,268,259,186,328,259,186,270,189,258,292,234,206,214,259,186
